Nat_BankID,Nat_BankCode,Nat_BankName,Nat_BankIsCard,Nat_BankIsEDC,Nat_BankIsActive,Nat_BankCreated,Nat_BankLastUpdated
1,Mandiri,Bank Mandiri,Y,Y,Y,2019-11-05 16:55:19,2025-02-03 08:01:05
2,BRI,Bank Rakyat Indonesia (BRI),Y,Y,Y,2019-11-05 16:57:11,2025-02-03 08:01:05
3,BNI,Bank Negara Indonesia (BNI),Y,Y,Y,2019-11-05 16:57:11,2025-02-03 08:01:05
4,BCA,Bank Central Asia (BCA),Y,Y,Y,2019-11-05 16:57:11,2025-02-03 08:01:05
5,CCVISA,"Credit Card Visa	",Y,N,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
6,CCMASTER,Credit Card Master,Y,N,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
7,BNI SYARIAH,BNI SYARIAH,Y,N,Y,2019-11-05 16:57:11,2020-07-12 11:35:05
8,GPN,GPN,Y,N,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
9,PERMATA,PERMATA,Y,Y,Y,2019-11-05 16:57:11,2025-02-03 08:01:05
10,DEBIT ALL BANK,DEBIT ALL BANK,Y,Y,Y,2019-11-05 16:57:11,2025-02-03 08:01:05
11,BCA HSE,Bank Central Asia (BCA) HSE,Y,N,Y,2019-11-05 16:57:11,2022-05-07 11:42:22
12,DANA,DANA,N,Y,Y,2019-11-05 16:57:11,2020-08-21 09:03:07
13,LinkAja,LinkAja,N,Y,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
14,GO PAY,GO PAY,N,Y,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
15,DIGI CASH BJB,DIGI CASH BJB,N,Y,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
16,OVO,OVO,N,Y,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
17,CIMB,CIMB,Y,N,Y,2019-11-05 16:57:11,2019-11-05 16:57:11
18,BSM,BSM,Y,N,Y,2019-11-05 16:57:11,2019-11-05 16:57:11